"country_codes_id","code","country_name","country_abbrv"
1,"+7 840","Abkhazia",""
2,"+93","Afghanistan",""
3,"+355","Albania",""
4,"+213","Algeria",""
5,"+1 684","American Samoa",""
6,"+376","Andorra",""
7,"+244","Angola",""
8,"+1 264","Anguilla",""
9,"+1 268","Antigua and Barbuda",""
10,"+54","Argentina",""
11,"+374","Armenia",""
12,"+297","Aruba",""
13,"+247","Ascension",""
14,"+61","Australia",""
15,"+672","Australian External Territories",""
16,"+43","Austria",""
17,"+994","Azerbaijan",""
18,"+1 242","Bahamas",""
19,"+973","Bahrain",""
20,"+880","Bangladesh",""
21,"+1 246","Barbados",""
22,"+1 268","Barbuda",""
23,"+375","Belarus",""
24,"+32","Belgium",""
25,"+501","Belize",""
26,"+229","Benin",""
27,"+1 441","Bermuda",""
28,"+975","Bhutan",""
29,"+591","Bolivia",""
30,"+387","Bosnia and Herzegovina",""
31,"+267","Botswana",""
32,"+55","Brazil",""
33,"+246","British Indian Ocean Territory",""
34,"+1 284","British Virgin Islands",""
35,"+673","Brunei",""
36,"+359","Bulgaria",""
37,"+226","Burkina Faso",""
38,"+257","Burundi",""
39,"+855","Cambodia",""
40,"+237","Cameroon",""
41,"+1","Canada",""
42,"+238","Cape Verde",""
43,"+1 345","Cayman Islands",""
44,"+236","Central African Republic",""
45,"+235","Chad",""
46,"+56","Chile",""
47,"+86","China",""
48,"+61","Christmas Island",""
49,"+61","Cocos-Keeling Islands",""
50,"+57","Colombia",""
51,"+269","Comoros",""
52,"+242","Congo",""
53,"+243","Congo, Dem. Rep. of (Zaire)",""
54,"+682","Cook Islands",""
55,"+506","Costa Rica",""
56,"+385","Croatia",""
57,"+53","Cuba",""
58,"+599","Curacao",""
59,"+537","Cyprus",""
60,"+420","Czech Republic",""
61,"+45","Denmark",""
62,"+246","Diego Garcia",""
63,"+253","Djibouti",""
64,"+1 767","Dominica",""
65,"+1 809","Dominican Republic",""
66,"+670","East Timor",""
67,"+56","Easter Island",""
68,"+593","Ecuador",""
69,"+20","Egypt",""
70,"+503","El Salvador",""
71,"+240","Equatorial Guinea",""
72,"+291","Eritrea",""
73,"+372","Estonia",""
74,"+251","Ethiopia",""
75,"+500","Falkland Islands",""
76,"+298","Faroe Islands",""
77,"+679","Fiji",""
78,"+358","Finland",""
79,"+33","France",""
80,"+596","French Antilles",""
81,"+594","French Guiana",""
82,"+689","French Polynesia",""
83,"+241","Gabon",""
84,"+220","Gambia",""
85,"+995","Georgia",""
86,"+49","Germany",""
87,"+233","Ghana",""
88,"+350","Gibraltar",""
89,"+30","Greece",""
90,"+299","Greenland",""
91,"+1 473","Grenada",""
92,"+590","Guadeloupe",""
93,"+1 671","Guam",""
94,"+502","Guatemala",""
95,"+224","Guinea",""
96,"+245","Guinea-Bissau",""
97,"+595","Guyana",""
98,"+509","Haiti",""
99,"+504","Honduras",""
100,"+852","Hong Kong SAR China",""
101,"+36","Hungary",""
102,"+354","Iceland",""
103,"+91","India",""
104,"+62","Indonesia",""
105,"+98","Iran",""
106,"+964","Iraq",""
107,"+353","Ireland",""
108,"+972","Israel",""
109,"+39","Italy",""
110,"+225","Ivory Coast",""
111,"+1 876","Jamaica",""
112,"+81","Japan",""
113,"+962","Jordan",""
114,"+7 7","Kazakhstan",""
115,"+254","Kenya",""
116,"+686","Kiribati",""
117,"+965","Kuwait",""
118,"+996","Kyrgyzstan",""
119,"+856","Laos",""
120,"+371","Latvia",""
121,"+961","Lebanon",""
122,"+266","Lesotho",""
123,"+231","Liberia",""
124,"+218","Libya",""
125,"+423","Liechtenstein",""
126,"+370","Lithuania",""
127,"+352","Luxembourg",""
128,"+853","Macau SAR China",""
129,"+389","Macedonia",""
130,"+261","Madagascar",""
131,"+265","Malawi",""
132,"+60","Malaysia",""
133,"+960","Maldives",""
134,"+223","Mali",""
135,"+356","Malta",""
136,"+692","Marshall Islands",""
137,"+596","Martinique",""
138,"+222","Mauritania",""
139,"+230","Mauritius",""
140,"+262","Mayotte",""
141,"+52","Mexico",""
142,"+691","Micronesia",""
143,"+1 808","Midway Island",""
144,"+373","Moldova",""
145,"+377","Monaco",""
146,"+976","Mongolia",""
147,"+382","Montenegro",""
148,"+1 664","Montserrat",""
149,"+212","Morocco",""
150,"+95","Myanmar",""
151,"+264","Namibia",""
152,"+674","Nauru",""
153,"+977","Nepal",""
154,"+31","Netherlands",""
155,"+599","Netherlands Antilles",""
156,"+1 869","Nevis",""
157,"+687","New Caledonia",""
158,"+64","New Zealand",""
159,"+505","Nicaragua",""
160,"+227","Niger",""
161,"+234","Nigeria",""
162,"+683","Niue",""
163,"+672","Norfolk Island",""
164,"+850","North Korea",""
165,"+1 670","Northern Mariana Islands",""
166,"+47","Norway",""
167,"+968","Oman",""
168,"+92","Pakistan",""
169,"+680","Palau",""
170,"+970","Palestinian Territory",""
171,"+507","Panama",""
172,"+675","Papua New Guinea",""
173,"+595","Paraguay",""
174,"+51","Peru",""
175,"+63","Philippines",""
176,"+48","Poland",""
177,"+351","Portugal",""
178,"+1 787","Puerto Rico",""
179,"+974","Qatar",""
180,"+262","Reunion",""
181,"+40","Romania",""
182,"+7","Russia",""
183,"+250","Rwanda",""
184,"+685","Samoa",""
185,"+378","San Marino",""
186,"+966","Saudi Arabia",""
187,"+221","Senegal",""
188,"+381","Serbia",""
189,"+248","Seychelles",""
190,"+232","Sierra Leone",""
191,"+65","Singapore",""
192,"+421","Slovakia",""
193,"+386","Slovenia",""
194,"+677","Solomon Islands",""
195,"+27","South Africa",""
196,"+500","South Georgia and the South Sandwich Islands",""
197,"+82","South Korea",""
198,"+34","Spain",""
199,"+94","Sri Lanka",""
200,"+249","Sudan",""
201,"+597","Suriname",""
202,"+268","Swaziland",""
203,"+46","Sweden",""
204,"+41","Switzerland",""
205,"+963","Syria",""
206,"+886","Taiwan",""
207,"+992","Tajikistan",""
208,"+255","Tanzania",""
209,"+66","Thailand",""
210,"+670","Timor Leste",""
211,"+228","Togo",""
212,"+690","Tokelau",""
213,"+676","Tonga",""
214,"+1 868","Trinidad and Tobago",""
215,"+216","Tunisia",""
216,"+90","Turkey",""
217,"+993","Turkmenistan",""
218,"+1 649","Turks and Caicos Islands",""
219,"+688","Tuvalu",""
220,"+1 340","U.S. Virgin Islands",""
221,"+256","Uganda",""
222,"+380","Ukraine",""
223,"+971","United Arab Emirates",""
224,"+44","United Kingdom",""
225,"+1","United States",""
226,"+598","Uruguay",""
227,"+998","Uzbekistan",""
228,"+678","Vanuatu",""
229,"+58","Venezuela",""
230,"+84","Vietnam",""
231,"+1 808","Wake Island",""
232,"+681","Wallis and Futuna",""
233,"+967","Yemen",""
234,"+260","Zambia",""
235,"+255","Zanzibar",""
236,"+263","Zimbabwe",""
